"BehaviorSpace results (NetLogo 6.2.2)"
"b-cell.nlogo"
"experiment"
"10/18/2022 16:03:23:993 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[reporter]","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells"
"[final]","53.53230186020186","0","770.6286731100013","46","0","55","13","114","53.59586601446135","0","747.5459215176677","40","0","67","11","118","56.63488636230649","0","226.1136836239561","87","0","48","0","135","55.289859160742544","1","472.75998467792226","40","0","62","5","107","55.93736704245245","0","503.9469489628284","41","0","30","7","78","53.2895814288047","0","680.053063647956","48","0","43","10","101","54.90614652789546","0","306.8832978111025","56","0","39","2","97","55.18260707184725","0","363.77382989068815","86","0","51","3","140","54.351417223377084","0","533.4675561493157","54","0","46","7","107","54.71822363984023","0","1115.505363820356","30","0","37","18","85"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","60","0","3716.0522789059537","65","46","55","78","195","60","0","2751.3155762930282","41","53","67","53","161","60","0","3338.1589476367685","108","69","48","70","261","60","1","2245.354025302711","53","59","62","45","184","60","0","2317.1118236278435","43","39","30","45","150","60","0","2590.409688501978","51","33","43","53","161","60","0","2672.1927162666466","80","61","39","55","221","60","0","3134.136160391306","86","62","51","65","222","60","0","2536.190760218938","57","48","46","48","160","60","0","2574.68101428393","42","33","37","53","148"
"[mean]","52.78669523241656","0","1066.4547681612187","34.16933972089148","6.225161424703187","29.683815871693398","17.710476983961673","96.95146844407415","53.36046727495481","0","1024.6155148315636","21.480316600708186","7.681316392418246","41.568423245157256","16.80670693605499","96.92314101228911","54.67191916607298","0","627.141007466649","62.203915850864405","7.261820454072068","32.12101645490523","7.971672568214955","121.77317225578004","54.01040754815798","0.8027494272026661","717.5934513930196","35.40991460112477","7.574671943345137","43.73193084774005","9.976879816704853","104.80962299520934","53.88729215505104","0","857.9057441073408","21.96271610081233","5.79441782961883","19.600291605915434","13.090189543845032","68.39470943553427","53.311509613219854","0","788.0069823843301","32.28889814621954","4.038741928764841","24.126848573213913","11.538012913976255","79.2701520516559","54.53600800392165","0","565.8510831742735","50.86961049781296","5.898354509477192","25.83920016663195","6.615705061445532","97.2191210164549","54.29356327157668","0","678.206006151004","53.82316184128307","6.184753176421578","33.463861695480105","9.102270360341596","110.83399291814206","53.69658688586523","0","839.715432617089","34.51176838158717","7.041449697979588","19.954384503228493","12.683607581753801","82.32618204540721","52.9898741104483","0","1306.7743077953771","23.197042282857737","6.0722766090397835","22.19850031243491","23.054988544053323","82.4792751510102"
"[steps]","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800","4800"

"[all run data]","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells","average-cd21-expression","total-num-of-apoptosed-cells","sum ([il10] of patches)","count mem-b-cells","count sl-plasma-cells","count ll-plasma-cells","count breg-cells","count mem-b-cells + count sl-plasma-cells + count ll-plasma-cells + count breg-cells + count activated-b-cells + count gc-b-cells"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"60","0","18.000000000000043","0","0","0","0","0","60","0","18.000000000000053","0","0","0","0","0","60","0","18.000000000000053","0","0","0","0","0","60","0","18.000000000000046","0","0","0","0","0","60","0","18.000000000000046","0","0","0","0","0","60","0","18.000000000000053","0","0","0","0","0","60","0","18.000000000000046","0","0","0","0","0","60","0","18.000000000000046","0","0","0","0","0","60","0","18.00000000000005","0","0","0","0","0","60","0","18.000000000000046","0","0","0","0","0"
,"60","0","34.199999999999854","0","0","0","0","0","60","0","34.19999999999988","0","0","0","0","0","60","0","34.19999999999987","0","0","0","0","0","60","0","34.199999999999896","0","0","0","0","0","60","0","34.199999999999854","0","0","0","0","0","60","0","34.199999999999896","0","0","0","0","0","60","0","34.199999999999854","0","0","0","0","0","60","0","34.199999999999875","0","0","0","0","0","60","0","34.19999999999987","0","0","0","0","0","60","0","34.1999999999999","0","0","0","0","0"
,"60","0","48.77999999999995","0","0","0","0","0","60","0","48.77999999999992","0","0","0","0","0","60","0","48.77999999999996","0","0","0","0","0","60","0","48.779999999999895","0","0","0","0","0","60","0","48.779999999999895","0","0","0","0","0","60","0","48.77999999999988","0","0","0","0","0","60","0","48.7799999999999","0","0","0","0","0","60","0","48.77999999999987","0","0","0","0","0","60","0","48.77999999999988","0","0","0","0","0","60","0","48.77999999999986","0","0","0","0","0"
,"60","0","61.902000000000044","0","0","0","0","0","60","0","61.902000000000044","0","0","0","0","0","60","0","61.90199999999996","0","0","0","0","0","60","0","61.90199999999994","0","0","0","0","0","60","0","61.90199999999996","0","0","0","0","0","60","0","61.901999999999965","0","0","0","0","0","60","0","61.90199999999994","0","0","0","0","0","60","0","61.90200000000001","0","0","0","0","0","60","0","61.90199999999987","0","0","0","0","0","60","0","61.901999999999965","0","0","0","0","0"
,"60","0","73.71180000000004","0","0","0","0","0","60","0","73.71179999999997","0","0","0","0","0","60","0","73.7118","0","0","0","0","0","60","0","73.71179999999981","0","0","0","0","0","60","0","73.7117999999999","0","0","0","0","0","60","0","73.71179999999977","0","0","0","0","0","60","0","73.7118","0","0","0","0","0","60","0","73.71179999999994","0","0","0","0","0","60","0","73.71180000000008","0","0","0","0","0","60","0","73.71179999999994","0","0","0","0","0"
,"60","0","84.34061999999999","0","0","0","0","0","60","0","84.34061999999987","0","0","0","0","0","60","0","84.34061999999989","0","0","0","0","0","60","0","84.34062000000011","0","0","0","0","0","60","0","84.34062000000006","0","0","0","0","0","60","0","84.34062000000003","0","0","0","0","0","60","0","84.34062000000006","0","0","0","0","0","60","0","84.34061999999993","0","0","0","0","0","60","0","84.3406199999998","0","0","0","0","0","60","0","84.34062","0","0","0","0","0"
,"60","0","93.90655800000003","0","0","0","0","0","60","0","93.90655800000013","0","0","0","0","0","60","0","93.90655800000013","0","0","0","0","0","60","0","93.90655800000047","0","0","0","0","0","60","0","93.90655800000013","0","0","0","0","0","60","0","93.90655800000019","0","0","0","0","0","60","0","93.90655800000022","0","0","0","0","0","60","0","93.90655800000002","0","0","0","0","0","60","0","93.90655800000013","0","0","0","0","0","60","0","93.90655800000029","0","0","0","0","0"
,"60","0","102.51590220000006","0","0","0","0","0","60","0","102.51590219999996","0","0","0","0","0","60","0","102.51590219999976","0","0","0","0","0","60","0","102.51590220000001","0","0","0","0","0","60","0","102.51590219999983","0","0","0","0","0","60","0","102.51590219999962","0","0","0","0","0","60","0","102.51590219999964","0","0","0","0","0","60","0","102.51590219999977","0","0","0","0","0","60","0","102.51590219999989","0","0","0","0","0","60","0","102.51590219999986","0","0","0","0","0"
,"60","0","110.26431197999973","0","0","0","0","0","60","0","110.26431197999996","0","0","0","0","0","60","0","110.26431197999955","0","0","0","0","0","60","0","110.26431197999968","0","0","0","0","0","60","0","110.26431197999987","0","0","0","0","0","60","0","110.26431197999965","0","0","0","0","0","60","0","110.26431197999965","0","0","0","0","0","60","0","110.26431197999972","0","0","0","0","0","60","0","110.26431197999959","0","0","0","0","0","60","0","110.2643119799996","0","0","0","0","0"
