"RandomRuns?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"AutoInoculate?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"bcell-tnfa-apop-threshold","263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",,"263",
"second-exposure-amt","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"[reporter]","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)","sum ([tnf-a] of patches)","sum ([il6] of patches)"
,"-0.03095100000000001","371.4119999999981","-0.030951000000000006","371.4119999999994","-0.03095100000000001","371.41199999999935","-0.030950999999999992","371.41199999999975","-0.030950999999999996","371.4119999999993","-0.030951","371.4119999999994","-0.03095100000000001","371.41199999999884","-0.03095100000000001","371.4119999999983","-0.030951000000000013","371.41199999999867","-0.030951000000000013","371.41199999999924"
,"-0.0368559","442.2707999999999","-0.036855900000000004","442.27079999999955","-0.036855900000000004","442.27080000000007","-0.03685590000000001","442.2707999999995","-0.03685590000000002","442.27080000000007","-0.036855900000000004","442.2707999999994","-0.03685590000000001","442.2707999999993","-0.0368559","442.27080000000075","-0.0368559","442.27080000000024","-0.03685590000000001","442.2707999999998"
,"-0.04217031","506.0437200000007","-0.042170309999999996","506.0437200000012","-0.042170310000000016","506.0437199999996","-0.04217031","506.04371999999927","-0.04217031","506.0437199999997","-0.042170310000000016","506.04372000000217","-0.04217031","506.04372000000075","-0.04217031","506.04372000000126","-0.04217031","506.04372000000006","-0.04217031000000001","506.0437200000022"
,"-0.04695327900000001","563.4393480000001","-0.046953279","563.4393479999998","-0.046953278999999994","563.439347999999","-0.04695327899999999","563.4393479999998","-0.046953279000000014","563.4393480000002","-0.04695327900000001","563.4393480000002","-0.046953278999999994","563.439348","-0.046953279","563.4393480000001","-0.046953279","563.4393480000008","-0.046953279","563.4393479999999"
,"-0.051257951100000025","615.095413199999","-0.05125795109999998","615.0954131999999","-0.05125795110000002","615.0954131999985","-0.051257951099999984","615.0954131999986","-0.051257951099999984","615.0954131999986","-0.05125795109999999","615.0954131999994","-0.051257951100000025","615.0954132000007","-0.051257951099999984","615.0954132000011","-0.05125795110000001","615.0954132","-0.05125795110000004","615.0954132000007"
,"-0.055132155989999966","661.5858718800005","-0.05513215598999999","661.5858718800002","-0.05513215599","661.5858718800008","-0.05513215599000001","661.5858718800002","-0.05513215599","661.5858718800008","-0.05513215599","661.585871880001","-0.05513215599000002","661.5858718800016","-0.05513215599000003","661.5858718800007","-0.05513215598999999","661.5858718799994","-0.05513215599000003","661.5858718800025"
,"-0.058618940391000025","703.4272846919987","-0.058618940391000005","703.4272846920012","-0.05861894039100001","703.4272846920013","-0.05861894039100004","703.427284692","-0.05861894039100002","703.4272846919994","-0.05861894039100001","703.4272846919991","-0.058618940391","703.4272846920006","-0.05861894039100002","703.4272846920007","-0.058618940391","703.4272846920007","-0.05861894039100003","703.427284692001"
,"-0.07075704635190001","741.0845562228004","-0.07075704635189997","741.0845562228023","-0.0707570463519","741.0845562228027","-0.07075704635189997","741.0845562228004","-0.07075704635189999","741.0845562228002","-0.07075704635189997","741.0845562228009","-0.07075704635190001","741.0845562228022","-0.07075704635190003","741.0845562228005","-0.07075704635189997","741.084556222801","-0.07075704635189997","741.0845562228014"
,"-0.08168134171671008","774.976100600521","-0.08168134171671002","774.9761006005216","-0.08168134171670993","774.9761006005212","-0.08168134171670996","774.9761006005219","-0.08168134171671003","774.9761006005215","-0.08168134171671006","774.9761006005234","-0.08168134171670999","774.9761006005206","-0.08168134171671006","774.9761006005215","-0.08168134171670995","774.9761006005228","-0.08168134171670999","774.9761006005197"
,"-0.09151320754503901","805.4784905404675","-0.09151320754503901","805.4784905404667","-0.091513207545039","805.4784905404665","-0.091513207545039","805.4784905404665","-0.09151320754503905","805.4784905404676","-0.091513207545039","805.4784905404682","-0.09151320754503896","805.4784905404679","-0.0915132075450391","805.4784905404673","-0.09151320754503889","805.4784905404664","-0.091513207545039","805.4784905404669"
